sentence,tokens
There is no snowboarder doing a flip over a mound of snow,12
Somebody is leaping in the air on a board,9
Somebody is jumping in the air on a board,9
There is nobody jumping in the air on a board,10
A large crowd in warm clothing is posing for a camera,11
A crowd which is large in warm clothing is posing for a camera,13
A large crowd in warm clothing is walking away from a camera,12
A crowd is posing for a large camera man in heavy clothing,12
Two men a woman and two young boys are standing aimlessly in front of a large gathering of people outside a building,22
Two men a woman and two young boys are standing in front of a large gathering of people outside a building,21
Two men a woman and two young boys are sitting in front of a large gathering of people outside a building,21
A girl who is little with blond hair is smiling and sitting on a swing,15
A little girl with blond hair is smiling and sitting on a swing,13
There is no little girl with blond hair smiling and sitting on a swing,14
A blond kid in green is sitting on a swing,10
A blonde boy in green is sitting on a swing,10
A blonde boy in green is standing on a swing,10
A blonde in green is sitting by a swinging boy,10
Music is being performed by four people outdoors,8
Four people are performing music outdoors,6
Four people are silently standing outdoors,6
The man in the white hat is playing guitar on stage,11
A man in a white hat is playing guitar on stage,11
A man in a white hat is getting off stage,10
A white man is staging a hat and a playing guitar,11
A man is participating in a bmx race,8
A man is participating in a race for bmxs,9
A man is not participating in a bmx race,9
A man in a red uniform is swiftly making a jump in a dirt bike race,16
A man in a red uniform is making a jump in a dirt bike race,15
There is no man in a red uniform making a jump in a dirt bike race,16
A man in a red uniform is racing and making a jump over a bike in the dirt,18
A happy family is posing by the fireplace,8
A family which looks happy is posing by the fireplace,10
A sad family is posing by the fireplace,8
The family is posing by a mantel and a Christmas tree,11
A family is posing by the mantel and the Christmas tree,11
There is no family posing by the mantel and the Christmas tree,12
Two twin preteen boys are dueling with sticks,8
Two twin preteen kids are dueling with sticks,8
Two twin preteen boys are playing with cards,8
Two boys are wearing brown shirts and are enthusiastically tugging at a rope on a wooden platform,17
Two boys are wearing brown shirts and are tugging at a rope on a wooden platform,16
Two girls are wearing brown shirts and are tugging at a rope on a wooden platform,16
An opponent is tackling a soccer player,7
A soccer player is being tackled by his opponent,9
There is no soccer player who is being tackled by an opponent,12
Some people playing rugby are tackling each other,8
Rugby players are tackling each other,6
Rugby players are not tackling each other,7
A dog which is white is standing on fallen leaves,10
A white dog is standing on fallen leaves,8
A white dog is lying on fallen leaves,8
A white dog is standing on the leaves on the ground,11
One white dog is standing on the leaves on the ground,11
There is no white dog standing on the leaves on the ground,12
Two girls are happily playing inside a jumper house,9
Two girls are playing inside a jumper house,8
Two girls are not playing inside the jumper house,9
Two girls are jumping inside a playing house,8
A child in clothing which is light colored is standing with his arms extended outward,15
A child in light colored clothing is standing with his arms extended outward,13
A child in light colored clothing is lying with his arms crossed,12
The boy and girl are playing on the outdoor gym,10
A boy and a girl are playing on the outdoor gym,11
The boy and girl are not playing on a playground,10
Some children are playing on a playground,7
Some kids are playing on a playground,7
Some children are not playing on a playground,8
The motocross rider is wearing blue and black pants,9
Blue and black pants are being worn by the motocross rider,11
The motocross rider is standing naked,6
The rider on the blue and black motocross bike is not wearing the pants,14
A biker with a blue jacket black pants and a white helmet is driving recklessly on dirt and people watch,20
A biker with a blue jacket black pants and a white helmet is driving on dirt and people are watching,20
A biker with a blue jacket black pants and a white helmet is parking on dirt and people are not watching,21
A young Asian woman with pink gloves is standing in the snow,12
A woman who is young and Asian with gloves colored in pink is standing in the snow,17
